17:29:19.413 [clientDequeThread1] INFO  i.v.vuu.client.swing.client.Worker - [AUTH] success
17:29:19.670 [clientDequeThread1] INFO  i.v.vuu.client.swing.client.Worker - [LOGIN] success UserPrincipal(user,d4961423-48d4-4894-bfd8-37d6ecd20db8,8c81ea07-70de-4235-b1c8-60345b1bf3bc)
17:29:19.839 [clientDequeThread1] INFO  i.v.vuu.client.swing.client.Worker - [HB]
17:29:19.936 [clientDequeThread1] INFO  i.v.vuu.client.swing.client.Worker - [HB]
17:29:20.005 [clientDequeThread1] INFO  i.v.vuu.client.swing.client.Worker - TABLELIST
17:29:20.096 [clientDequeThread1] INFO  i.v.vuu.client.swing.client.Worker - [TABLEMETA] orderEntry from server
17:29:22.214 [clientDequeThread1] INFO  i.v.vuu.client.swing.client.Worker - [TABLEMETA] instruments from server
17:29:26.381 [clientDequeThread1] INFO  i.v.vuu.client.swing.client.Worker - [VP] Create Success
17:29:26.503 [clientDequeThread1] INFO  i.v.vuu.client.swing.client.Worker - [VP] updates 1 for user-ea5988c5-3aff-46cf-8753-1ee602545384 rowSize = 0
17:29:26.505 [clientDequeThread1] INFO  i.v.vuu.client.swing.client.Worker - ROW: key SIZE, vpSize 0, data []
17:29:26.980 [clientDequeThread1] INFO  i.v.vuu.client.swing.client.Worker - [VP] updates 100 for user-ea5988c5-3aff-46cf-8753-1ee602545384 rowSize = 0
17:29:26.981 [clientDequeThread1] INFO  i.v.vuu.client.swing.client.Worker - ROW: key AAA.L, vpSize 0, data [AAA.L, AAA.L London PLC, USD, XLON/LSE-SETS, 633]
17:29:26.981 [clientDequeThread1] INFO  i.v.vuu.client.swing.client.Worker - ROW: key AAA.N, vpSize 0, data [AAA.N, AAA.N Corporation, EUR, XNGS/NAS-GSM, 220]
17:29:26.981 [clientDequeThread1] INFO  i.v.vuu.client.swing.client.Worker - ROW: key AAA.OQ, vpSize 0, data [AAA.OQ, AAA.OQ Co., EUR, XNYS/NYS-MAIN, 393]
17:29:26.981 [clientDequeThread1] INFO  i.v.vuu.client.swing.client.Worker - ROW: key AAA.AS, vpSize 0, data [AAA.AS, AAA.AS B.V, GBX, XAMS/ENA-MAIN, 449]
