09:22:41.277 [clientDequeThread1] INFO  i.v.vuu.client.swing.client.Worker - [AUTH] success
09:22:41.522 [clientDequeThread1] INFO  i.v.vuu.client.swing.client.Worker - [LOGIN] success UserPrincipal(user,4af3f8d4-2896-4175-aa9a-e71b68d315ee,63a828d2-9154-4382-8d94-fab48a0e79b6)
09:22:41.653 [clientDequeThread1] INFO  i.v.vuu.client.swing.client.Worker - TABLELIST
09:22:41.743 [clientDequeThread1] INFO  i.v.vuu.client.swing.client.Worker - [HB]
09:22:41.833 [clientDequeThread1] INFO  i.v.vuu.client.swing.client.Worker - [TABLEMETA] orderEntry from server
09:22:43.701 [clientDequeThread1] INFO  i.v.vuu.client.swing.client.Worker - [TABLEMETA] instruments from server
09:22:45.971 [clientDequeThread1] INFO  i.v.vuu.client.swing.client.Worker - [VP] Create Success
09:22:46.298 [clientDequeThread1] INFO  i.v.vuu.client.swing.client.Worker - [VP] updates 100 for user-0e81f2ed-192e-474f-b41a-b7d342615847 rowSize = 70304
09:22:46.300 [clientDequeThread1] INFO  i.v.vuu.client.swing.client.Worker - ROW: key AAA.L, vpSize 70304, data [AAA.L, AAA.L London PLC, USD, XLON/LSE-SETS, 633]
09:22:46.301 [clientDequeThread1] INFO  i.v.vuu.client.swing.client.Worker - ROW: key AAA.N, vpSize 70304, data [AAA.N, AAA.N Corporation, EUR, XNGS/NAS-GSM, 220]
09:22:46.301 [clientDequeThread1] INFO  i.v.vuu.client.swing.client.Worker - ROW: key AAA.OQ, vpSize 70304, data [AAA.OQ, AAA.OQ Co., EUR, XNYS/NYS-MAIN, 393]
09:22:46.302 [clientDequeThread1] INFO  i.v.vuu.client.swing.client.Worker - ROW: key AAA.AS, vpSize 70304, data [AAA.AS, AAA.AS B.V, GBX, XAMS/ENA-MAIN, 449]
09:22:46.302 [clientDequeThread1] INFO  i.v.vuu.client.swing.client.Worker - ROW: key AAB.L, vpSize 70304, data [AAB.L, AAB.L London PLC, GBX, XLON/LSE-SETS, 37]
09:22:46.302 [clientDequeThread1] INFO  i.v.vuu.client.swing.client.Worker - ROW: key AAB.N, vpSize 70304, data [AAB.N, AAB.N Corporation, CAD, XNGS/NAS-GSM, 38]
09:22:46.303 [clientDequeThread1] INFO  i.v.vuu.client.swing.client.Worker - ROW: key AAB.OQ, vpSize 70304, data [AAB.OQ, AAB.OQ Co., GBX, XNYS/NYS-MAIN, 286]
09:22:46.304 [clientDequeThread1] INFO  i.v.vuu.client.swing.client.Worker - ROW: key AAB.AS, vpSize 70304, data [AAB.AS, AAB.AS B.V, USD, XAMS/ENA-MAIN, 364]
09:22:46.305 [clientDequeThread1] INFO  i.v.vuu.client.swing.client.Worker - ROW: key AAC.L, vpSize 70304, data [AAC.L, AAC.L London PLC, EUR, XLON/LSE-SETS, 12]
09:22:46.306 [clientDequeThread1] INFO  i.v.vuu.client.swing.client.Worker - ROW: key AAC.N, vpSize 70304, data [AAC.N, AAC.N Corporation, CAD, XNGS/NAS-GSM, 927]
09:22:46.307 [clientDequeThread1] INFO  i.v.vuu.client.swing.client.Worker - ROW: key AAC.OQ, vpSize 70304, data [AAC.OQ, AAC.OQ Co., GBX, XNYS/NYS-MAIN, 559]
09:22:46.307 [clientDequeThread1] INFO  i.v.vuu.client.swing.client.Worker - ROW: key AAC.AS, vpSize 70304, data [AAC.AS, AAC.AS B.V, CAD, XAMS/ENA-MAIN, 946]
09:22:46.307 [clientDequeThread1] INFO  i.v.vuu.client.swing.client.Worker - ROW: key AAD.L, vpSize 70304, data [AAD.L, AAD.L London PLC, CAD, XLON/LSE-SETS, 363]
09:22:46.308 [clientDequeThread1] INFO  i.v.vuu.client.swing.client.Worker - ROW: key AAD.N, vpSize 70304, data [AAD.N, AAD.N Corporation, CAD, XNGS/NAS-GSM, 696]
09:22:46.308 [clientDequeThread1] INFO  i.v.vuu.client.swing.client.Worker - ROW: key AAD.OQ, vpSize 70304, data [AAD.OQ, AAD.OQ Co., EUR, XNYS/NYS-MAIN, 806]
09:22:46.308 [clientDequeThread1] INFO  i.v.vuu.client.swing.client.Worker - ROW: key AAD.AS, vpSize 70304, data [AAD.AS, AAD.AS B.V, GBX, XAMS/ENA-MAIN, 44]
09:22:46.308 [clientDequeThread1] INFO  i.v.vuu.client.swing.client.Worker - ROW: key AAE.L, vpSize 70304, data [AAE.L, AAE.L London PLC, GBX, XLON/LSE-SETS, 226]
09:22:46.309 [clientDequeThread1] INFO  i.v.vuu.client.swing.client.Worker - ROW: key AAE.N, vpSize 70304, data [AAE.N, AAE.N Corporation, GBX, XNGS/NAS-GSM, 54]
09:22:46.309 [clientDequeThread1] INFO  i.v.vuu.client.swing.client.Worker - ROW: key AAE.OQ, vpSize 70304, data [AAE.OQ, AAE.OQ Co., USD, XNYS/NYS-MAIN, 618]
